DATE,Amount,Asset
4/20/2025,"208,333.33",FOX (FOX)
4/20/2025,"104,166.67",FOX (FOX)
3/24/2025,"208,333.33",FOX (FOX)
3/24/2025,"104,166.67",FOX (FOX)
3/8/2025,"104,166.67",FOX (FOX)
3/8/2025,"208,333.33",FOX (FOX)
3/8/2025,"104,166.67",FOX (FOX)
3/6/2025,"104,166.67",FOX (FOX)
3/6/2025,"208,333.33",FOX (FOX)
3/5/2025,"104,166.67",FOX (FOX)
3/4/2025,"104,166.67",FOX (FOX)
3/4/2025,"208,333.33",FOX (FOX)
3/3/2025,"104,166.67",FOX (FOX)
3/2/2025,"104,166.67",FOX (FOX)
3/2/2025,"208,333.33",FOX (FOX)
3/1/2025,"104,166.67",FOX (FOX)
2/28/2025,"104,166.67",FOX (FOX)
2/28/2025,"208,333.33",FOX (FOX)
2/27/2025,"104,166.67",FOX (FOX)
2/26/2025,"104,166.67",FOX (FOX)
2/26/2025,"208,333.33",FOX (FOX)
2/25/2025,"104,166.67",FOX (FOX)
2/24/2025,"104,166.67",FOX (FOX)
2/24/2025,"208,333.33",FOX (FOX)
2/23/2025,"104,166.67",FOX (FOX)
2/28/2025,"104,166.67",FOX (FOX)
2/28/2025,"208,333.33",FOX (FOX)
2/27/2025,"104,166.67",FOX (FOX)
2/26/2025,"104,166.67",FOX (FOX)
2/26/2025,"208,333.33",FOX (FOX)
2/25/2025,"104,166.67",FOX (FOX)
2/24/2025,"104,166.67",FOX (FOX)
2/24/2025,"208,333.33",FOX (FOX)
2/23/2025,"104,166.67",FOX (FOX)
2/22/2025,"104,166.67",FOX (FOX)
2/22/2025,"208,333.33",FOX (FOX)
2/21/2025,"104,166.67",FOX (FOX)
2/20/2025,"104,166.67",FOX (FOX)
2/20/2025,"208,333.33",FOX (FOX)
2/19/2025,"104,166.67",FOX (FOX)
2/18/2025,"104,166.67",FOX (FOX)
2/18/2025,"208,333.33",FOX (FOX)
2/17/2025,"104,166.67",FOX (FOX)
2/16/2025,"104,166.67",FOX (FOX)
2/16/2025,"208,333.33",FOX (FOX)
2/15/2025,"104,166.67",FOX (FOX)
2/14/2025,"104,166.67",FOX (FOX)
2/14/2025,"208,333.33",FOX (FOX)
2/13/2025,"104,166.67",FOX (FOX)
2/12/2025,"104,166.67",FOX (FOX)
2/12/2025,"208,333.33",FOX (FOX)
2/11/2025,"104,166.67",FOX (FOX)
2/10/2025,"104,166.67",FOX (FOX)
2/10/2025,"208,333.33",FOX (FOX)
2/9/2025,"104,166.67",FOX (FOX)
2/8/2025,"104,166.67",FOX (FOX)
2/8/2025,"208,333.33",FOX (FOX)
2/7/2025,"104,166.67",FOX (FOX)
2/6/2025,"104,166.67",FOX (FOX)
2/6/2025,"208,333.33",FOX (FOX)
2/5/2025,"104,166.67",FOX (FOX)
2/4/2025,"104,166.67",FOX (FOX)
2/4/2025,"208,333.33",FOX (FOX)
2/3/2025,"104,166.67",FOX (FOX)
2/2/2025,"104,166.67",FOX (FOX)
2/2/2025,"208,333.33",FOX (FOX)
2/1/2025,"104,166.67",FOX (FOX)
1/31/2025,"104,166.67",FOX (FOX)
1/31/2025,"208,333.33",FOX (FOX)
1/30/2025,"104,166.67",FOX (FOX)
1/29/2025,"104,166.67",FOX (FOX)
1/29/2025,"208,333.33",FOX (FOX)
1/28/2025,"104,166.67",FOX (FOX)
1/27/2025,"104,166.67",FOX (FOX)
1/27/2025,"208,333.33",FOX (FOX)
1/26/2025,"104,166.67",FOX (FOX)
1/25/2025,"104,166.67",FOX (FOX)
1/25/2025,"208,333.33",FOX (FOX)
1/24/2025,"104,166.67",FOX (FOX)
1/23/2025,"104,166.67",FOX (FOX)
1/23/2025,"208,333.33",FOX (FOX)
1/22/2025,"104,166.67",FOX (FOX)
1/21/2025,"104,166.67",FOX (FOX)
1/21/2025,"208,333.33",FOX (FOX)
1/20/2025,"104,166.67",FOX (FOX)
1/19/2025,"104,166.67",FOX (FOX)
1/19/2025,"208,333.33",FOX (FOX)
1/18/2025,"104,166.67",FOX (FOX)
1/17/2025,"104,166.67",FOX (FOX)
1/17/2025,"208,333.33",FOX (FOX)
1/16/2025,"104,166.67",FOX (FOX)
1/15/2025,"104,166.67",FOX (FOX)
1/15/2025,"208,333.33",FOX (FOX)
1/14/2025,"104,166.67",FOX (FOX)
1/13/2025,"104,166.67",FOX (FOX)
1/13/2025,"208,333.33",FOX (FOX)
1/12/2025,"104,166.67",FOX (FOX)
1/11/2025,"104,166.67",FOX (FOX)
1/11/2025,"208,333.33",FOX (FOX)
1/10/2025,"104,166.67",FOX (FOX)
1/9/2025,"104,166.67",FOX (FOX)
1/9/2025,"208,333.33",FOX (FOX)
1/8/2025,"104,166.67",FOX (FOX)
1/7/2025,"104,166.67",FOX (FOX)
1/7/2025,"208,333.33",FOX (FOX)
1/6/2025,"104,166.67",FOX (FOX)
1/5/2025,"200,000",FOX (FOX)
1/5/2025,"208,333.33",FOX (FOX)
1/4/2025,"155,555.56",FOX (FOX)
1/4/2025,"200,000",FOX (FOX)
1/3/2025,"200,000",FOX (FOX)
1/2/2025,"155,555.56",FOX (FOX)
1/2/2025,"200,000",FOX (FOX)
1/1/2025,"200,000",FOX (FOX)
12/31/2024,"155,555.56",FOX (FOX)
12/31/2024,"200,000",FOX (FOX)
12/30/2024,"200,000",FOX (FOX)
12/29/2024,"155,555.56",FOX (FOX)
12/29/2024,"200,000",FOX (FOX)
12/28/2024,"200,000",FOX (FOX)
12/27/2024,"155,555.56",FOX (FOX)
12/27/2024,"200,000",FOX (FOX)
12/26/2024,"200,000",FOX (FOX)
12/25/2024,"155,555.56",FOX (FOX)
12/25/2024,"200,000",FOX (FOX)
12/24/2024,"200,000",FOX (FOX)
12/23/2024,"155,555.56",FOX (FOX)
12/23/2024,"200,000",FOX (FOX)
12/22/2024,"200,000",FOX (FOX)
12/21/2024,"155,555.56",FOX (FOX)
12/21/2024,"200,000",FOX (FOX)
12/20/2024,"200,000",FOX (FOX)
12/19/2024,"155,555.56",FOX (FOX)
12/19/2024,"200,000",FOX (FOX)
12/18/2024,"200,000",FOX (FOX)
12/17/2024,"155,555.56",FOX (FOX)
12/17/2024,"200,000",FOX (FOX)
12/16/2024,"200,000",FOX (FOX)
12/15/2024,"155,555.56",FOX (FOX)
12/15/2024,"200,000",FOX (FOX)
12/14/2024,"200,000",FOX (FOX)
12/13/2024,"155,555.56",FOX (FOX)
12/13/2024,"200,000",FOX (FOX)
12/12/2024,"200,000",FOX (FOX)
12/11/2024,"155,555.56",FOX (FOX)
12/11/2024,"200,000",FOX (FOX)
12/10/2024,"200,000",FOX (FOX)
12/9/2024,"155,555.56",FOX (FOX)
12/9/2024,"200,000",FOX (FOX)
12/8/2024,"200,000",FOX (FOX)
12/7/2024,"155,555.56",FOX (FOX)
12/7/2024,"200,000",FOX (FOX)
12/6/2024,"200,000",FOX (FOX)
12/5/2024,"155,555.56",FOX (FOX)
12/5/2024,"200,000",FOX (FOX)
12/4/2024,"200,000",FOX (FOX)
12/3/2024,"155,555.56",FOX (FOX)
12/3/2024,"200,000",FOX (FOX)
12/2/2024,"200,000",FOX (FOX)
12/1/2024,"155,555.56",FOX (FOX)
12/1/2024,"200,000",FOX (FOX)
11/30/2024,"200,000",FOX (FOX)
11/29/2024,"155,555.56",FOX (FOX)
11/29/2024,"200,000",FOX (FOX)
11/28/2024,"200,000",FOX (FOX)
11/27/2024,"155,555.56",FOX (FOX)
11/27/2024,"200,000",FOX (FOX)
11/26/2024,"200,000",FOX (FOX)
11/25/2024,"155,555.56",FOX (FOX)
11/25/2024,"200,000",FOX (FOX)
11/24/2024,"200,000",FOX (FOX)
11/23/2024,"155,555.56",FOX (FOX)
11/23/2024,"200,000",FOX (FOX)
11/22/2024,"200,000",FOX (FOX)
11/21/2024,"155,555.56",FOX (FOX)
11/21/2024,"200,000",FOX (FOX)
11/20/2024,"200,000",FOX (FOX)
11/19/2024,"155,555.56",FOX (FOX)
11/19/2024,"200,000",FOX (FOX)
11/18/2024,"200,000",FOX (FOX)
11/17/2024,"155,555.56",FOX (FOX)
11/17/2024,"200,000",FOX (FOX)
11/16/2024,"200,000",FOX (FOX)
11/15/2024,"155,555.56",FOX (FOX)
11/15/2024,"200,000",FOX (FOX)
11/14/2024,"200,000",FOX (FOX)
11/13/2024,"155,555.56",FOX (FOX)
11/13/2024,"200,000",FOX (FOX)
11/12/2024,"200,000",FOX (FOX)
11/11/2024,"155,555.56",FOX (FOX)
11/11/2024,"200,000",FOX (FOX)
11/10/2024,"200,000",FOX (FOX)
11/9/2024,"155,555.56",FOX (FOX)
11/9/2024,"200,000",FOX (FOX)
11/8/2024,"200,000",FOX (FOX)
11/8/2024,"200,000",FOX (FOX)
11/7/2024,"200,000",FOX (FOX)
11/7/2024,"155,555.56",FOX (FOX)
11/7/2024,"200,000",FOX (FOX)
11/6/2024,"200,000",FOX (FOX)
11/5/2024,"200,000",FOX (FOX)
11/5/2024,"155,555.56",FOX (FOX)
11/4/2024,"200,000",FOX (FOX)
11/3/2024,"200,000",FOX (FOX)
11/3/2024,"155,555.56",FOX (FOX)
11/2/2024,"200,000",FOX (FOX)
11/1/2024,"200,000",FOX (FOX)
11/1/2024,"155,555.56",FOX (FOX)
10/31/2024,"200,000",FOX (FOX)
10/30/2024,"200,000",FOX (FOX)
10/30/2024,"155,555.56",FOX (FOX)
10/29/2024,"200,000",FOX (FOX)
10/28/2024,"200,000",FOX (FOX)
10/28/2024,"155,555.56",FOX (FOX)
10/27/2024,"200,000",FOX (FOX)
10/26/2024,"200,000",FOX (FOX)
10/26/2024,"155,555.56",FOX (FOX)
10/25/2024,"200,000",FOX (FOX)
10/24/2024,"200,000",FOX (FOX)
10/24/2024,"155,555.56",FOX (FOX)
10/23/2024,"200,000",FOX (FOX)
10/22/2024,"200,000",FOX (FOX)
10/22/2024,"155,555.56",FOX (FOX)
10/21/2024,"200,000",FOX (FOX)
10/20/2024,"200,000",FOX (FOX)
10/20/2024,"155,555.56",FOX (FOX)
10/19/2024,"200,000",FOX (FOX)
10/18/2024,"200,000",FOX (FOX)
10/18/2024,"155,555.56",FOX (FOX)
10/17/2024,"200,000",FOX (FOX)
10/16/2024,"200,000",FOX (FOX)
10/16/2024,"155,555.56",FOX (FOX)
10/15/2024,"200,000",FOX (FOX)
10/14/2024,"200,000",FOX (FOX)
10/14/2024,"155,555.56",FOX (FOX)
10/13/2024,"200,000",FOX (FOX)
10/12/2024,"200,000",FOX (FOX)
10/12/2024,"155,555.56",FOX (FOX)
10/11/2024,"200,000",FOX (FOX)
10/10/2024,"200,000",FOX (FOX)
10/10/2024,"155,555.56",FOX (FOX)
10/9/2024,"200,000",FOX (FOX)
10/8/2024,"200,000",FOX (FOX)
10/8/2024,"155,555.56",FOX (FOX)
10/7/2024,"200,000",FOX (FOX)
10/6/2024,"200,000",FOX (FOX)
10/5/2024,"200,000",FOX (FOX)
10/4/2024,"200,000",FOX (FOX)
10/3/2024,"200,000",FOX (FOX)
10/2/2024,"200,000",FOX (FOX)
10/1/2024,"200,000",FOX (FOX)
9/30/2024,"200,000",FOX (FOX)
9/29/2024,"200,000",FOX (FOX)
9/28/2024,"200,000",FOX (FOX)
9/27/2024,"200,000",FOX (FOX)
9/26/2024,"200,000",FOX (FOX)
9/25/2024,"200,000",FOX (FOX)
9/24/2024,"200,000",FOX (FOX)
9/23/2024,"200,000",FOX (FOX)
9/22/2024,"200,000",FOX (FOX)
9/21/2024,"200,000",FOX (FOX)
9/20/2024,"200,000",FOX (FOX)
9/19/2024,"200,000",FOX (FOX)
9/18/2024,"200,000",FOX (FOX)
9/17/2024,"200,000",FOX (FOX)
9/16/2024,"200,000",FOX (FOX)
9/15/2024,"200,000",FOX (FOX)
9/14/2024,"200,000",FOX (FOX)
9/13/2024,"200,000",FOX (FOX)
9/12/2024,"200,000",FOX (FOX)
9/12/2024,"109,066.67",FOX (FOX)
9/11/2024,"200,000",FOX (FOX)
9/10/2024,"200,000",FOX (FOX)
9/10/2024,"109,066.67",FOX (FOX)
9/8/2024,"109,066.67",FOX (FOX)
9/6/2024,"109,066.67",FOX (FOX)
9/4/2024,"109,066.67",FOX (FOX)
9/2/2024,"109,066.67",FOX (FOX)
8/31/2024,"109,066.67",FOX (FOX)
8/30/2024,"109,066.67",FOX (FOX)
8/30/2024,"109,066.67",FOX (FOX)
8/29/2024,"109,066.67",FOX (FOX)
8/27/2024,"109,066.67",FOX (FOX)
8/25/2024,"109,066.67",FOX (FOX)
8/24/2024,"58,000",FOX (FOX)
8/24/2024,"109,066.67",FOX (FOX)
8/23/2024,"109,066.67",FOX (FOX)
8/21/2024,"109,066.67",FOX (FOX)
8/19/2024,"109,066.67",FOX (FOX)
8/17/2024,"109,066.67",FOX (FOX)
8/15/2024,"109,066.67",FOX (FOX)
8/8/2024,"109,066.67",FOX (FOX)
8/6/2024,"58,000",FOX (FOX)
8/6/2024,"109,066.67",FOX (FOX)
8/4/2024,"58,000",FOX (FOX)
8/4/2024,"109,066.67",FOX (FOX)
8/2/2024,"58,000",FOX (FOX)
8/2/2024,"109,066.67",FOX (FOX)
7/31/2024,"58,000",FOX (FOX)
7/31/2024,"109,066.67",FOX (FOX)
7/29/2024,"109,066.67",FOX (FOX)
7/27/2024,"109,066.67",FOX (FOX)
7/25/2024,"109,066.67",FOX (FOX)
7/23/2024,"109,066.67",FOX (FOX)
7/21/2024,"109,066.67",FOX (FOX)
7/19/2024,"109,066.67",FOX (FOX)
7/17/2024,"109,066.67",FOX (FOX)
7/15/2024,"109,066.67",FOX (FOX)
7/13/2024,"109,066.67",FOX (FOX)
7/12/2024,"109,066.67",FOX (FOX)
7/9/2024,"109,066.67",FOX (FOX)
7/7/2024,"109,066.67",FOX (FOX)
7/7/2024,"109,066.67",FOX (FOX)
7/5/2024,"109,066.67",FOX (FOX)
6/23/2024,"109,066.67",FOX (FOX)
6/21/2024,"109,066.67",FOX (FOX)
6/19/2024,"109,066.67",FOX (FOX)
6/17/2024,"109,066.67",FOX (FOX)
6/15/2024,"109,066.67",FOX (FOX)
5/28/2024,"109,066.67",FOX (FOX)
5/26/2024,"109,066.67",FOX (FOX)
5/24/2024,"109,066.67",FOX (FOX)
5/22/2024,"109,066.67",FOX (FOX)
5/20/2024,"109,066.67",FOX (FOX)
5/18/2024,"109,066.67",FOX (FOX)
5/16/2024,"109,066.67",FOX (FOX)
5/14/2024,"109,066.67",FOX (FOX)
5/12/2024,"109,066.67",FOX (FOX)
5/10/2024,"109,066.67",FOX (FOX)
5/8/2024,"109,066.67",FOX (FOX)
5/6/2024,"109,066.67",FOX (FOX)
5/4/2024,"109,066.67",FOX (FOX)
5/2/2024,"109,066.67",FOX (FOX)
4/30/2024,"109,066.67",FOX (FOX)
4/25/2024,"109,066.67",FOX (FOX)
4/23/2024,"109,066.67",FOX (FOX)
4/21/2024,"109,066.67",FOX (FOX)
4/19/2024,"109,066.67",FOX (FOX)
4/17/2024,"109,066.67",FOX (FOX)
4/15/2024,"109,066.67",FOX (FOX)
4/13/2024,"109,066.67",FOX (FOX)
4/11/2024,"109,066.67",FOX (FOX)
4/9/2024,"109,066.67",FOX (FOX)
4/7/2024,"109,066.67",FOX (FOX)
4/5/2024,"109,066.67",FOX (FOX)
4/3/2024,"109,066.67",FOX (FOX)
4/1/2024,"109,066.67",FOX (FOX)
3/30/2024,"109,066.67",FOX (FOX)
3/28/2024,"109,066.67",FOX (FOX)
3/27/2024,"109,066.67",FOX (FOX)
3/25/2024,"109,066.67",FOX (FOX)
3/23/2024,"109,066.67",FOX (FOX)
3/21/2024,"109,066.67",FOX (FOX)
3/19/2024,"109,066.67",FOX (FOX)
3/17/2024,"109,066.67",FOX (FOX)
3/15/2024,"109,066.67",FOX (FOX)
3/13/2024,"109,066.67",FOX (FOX)
3/11/2024,"109,066.67",FOX (FOX)
3/9/2024,"109,066.67",FOX (FOX)
3/7/2024,"109,066.67",FOX (FOX)
3/5/2024,"109,066.67",FOX (FOX)
3/3/2024,"109,066.67",FOX (FOX)
3/1/2024,"109,066.67",FOX (FOX)
2/28/2024,"109,066.67",FOX (FOX)
2/25/2024,"136,333.33",FOX (FOX)
2/22/2024,"136,333.33",FOX (FOX)
2/20/2024,"136,333.33",FOX (FOX)
2/17/2024,"136,333.33",FOX (FOX)
2/15/2024,"136,333.33",FOX (FOX)
2/12/2024,"136,333.33",FOX (FOX)
2/10/2024,"136,333.33",FOX (FOX)
2/7/2024,"136,333.33",FOX (FOX)
2/5/2024,"136,333.33",FOX (FOX)
2/2/2024,"136,333.33",FOX (FOX)
1/31/2024,"136,333.33",FOX (FOX)
1/28/2024,"136,333.33",FOX (FOX)
1/23/2024,"116,857.14",FOX (FOX)
1/21/2024,"116,857.14",FOX (FOX)
1/19/2024,"116,857.14",FOX (FOX)
1/17/2024,"116,857.14",FOX (FOX)
1/14/2024,"116,857.14",FOX (FOX)
1/12/2024,"116,857.14",FOX (FOX)
1/10/2024,"116,857.14",FOX (FOX)
1/8/2024,"116,857.14",FOX (FOX)
1/6/2024,"116,857.14",FOX (FOX)
1/4/2024,"116,857.14",FOX (FOX)
1/3/2024,"163,600",FOX (FOX)
1/2/2024,"116,857.14",FOX (FOX)
12/31/2023,"163,600",FOX (FOX)
12/30/2023,"116,857.14",FOX (FOX)
12/28/2023,"163,600",FOX (FOX)
12/25/2023,"163,600",FOX (FOX)
12/22/2023,"163,600",FOX (FOX)
12/19/2023,"163,600",FOX (FOX)
12/16/2023,"163,600",FOX (FOX)
12/13/2023,"163,600",FOX (FOX)
12/11/2023,"163,600",FOX (FOX)